abandona,abandon - abbandono
avânta,rush at or to - salire
avea dreptate,be correct - era giusto
avea,have - Avere
avorta,miscarry - abortire
azvârli,throw - gettare
bara,bar - sbarra
bate,beat - colpo
batjocori,make fun of - provocazione
baza,base - la base
băga,insert - Tuck
bănui,suppose - sospettare
bărbieri,shave - farsi la barba
băși,fart - scoreggiare
bășica,blister - vescia
bârfi,backbite - pettegolezzo
bea,drink - bere
beli,skin - Flay
binecuvânta,bless - benedire
blestema,curse - maledizione
bloca,block - bloccare
boci,bemoan - lamento
boi,paint - tori
borî,vomit - vomito
boteza,baptise - battezzare
brăzda,furrow - il braza
buciuma,blow the horn - corno
bucura,be / come glad - gioia
bulbuca,goggle - Goggle
buluci,crowd - mucchio
canoni,torment - tormento
capitula,capitulate - arrendersi
castra,castrate - castrare
căca,defecate - merda
cădea,fall - autunno
călători,travel - PASSEGGERI
călca,step - Calcutta
căpăta,obtain - Ottenere
căra,carry - trasportare
căsători,marry - sposare
căsca,yawn - sbadiglio
cășuna,cause - La cuffia
căuta,search - Cercare
cânta,sing - cantare
cântări,weigh - pesare
câștiga,win - vincita
celebra,celebrate - celebrare
cenzura,censor - censura
cerca,examine - Cerca
cerceta,examine - ricercatore
cere,request - Chiedere
cerne,sift - tesi
cerși,beg - elemosinare
certa,quarrel - rissa
cetera,play the fiddle or violin - Cetera
cheltui,spend - trascorrere
chema,call - chiamata
chinui,torture - tormento
chiorî,blind - ingannare
chițăi,squeak - sbirciare
chițcăi,squeak - Chiţcăi
cina,dine - cena
cinge,surround - Cing
cinsti,revere - onore
ciocăni,knock - martello
ciocni,knock against - colpo
ciopli,chip - intagliare
circula,circulate - MOVIMENTO
circumcide,circumcise - circoncidere
circumscrie,circumscribe - circoscrive
citi,read - Leggere
ciuguli,peck - sgranocchiare
civiliza,civilize - civilizzare
clarifica,clarify - si prega di precisare
clădi,build - costruire
clăti,rinse - risciacquo
clătina,sway - scuotere
cloci,hatch - schiudere
clocoti,boil - ribollire
coace,bake - cottura al forno
coase,sew - cucire
coborî,descend - scendere
cocoloși,crumple - avvizzire
comanda,order - comando
comânda,sacrifice - comando
combina,combine - Combina
comite,commit - commettere
compara,compare - confrontare
completa,complete - riempire
comporta,behave - comportarsi
compune,compose - comporre
comunica,communicate - comunicare
concepe,conceive - concepire
conduce,drive - Guida
confrunta,confront - VISO
conjuga,conjugate - coniugare
consta,consist - consistono
constrânge,constrain - vincolo
construi,construct - costruire
conteni,cease - cessare
continua,continue - continuare
contopi,blend - unire
contraveni,contravene - contravvenire
contrazice,contradict - contraddire
controla,control - controllo
conține,contain - contenere
conveni,understand - Essere d'accordo
convinge,convince - convincere
coopera,cooperate - cooperare
coperi,cover - copiare
copia,copy - copia
copleși,overwhelm - sopraffare
corupe,corrupt - corrotto
coti,turn - giro
cotropi,cover - invadere
crăpa,crack - crepa
crea,create - creare
crede,guess - credere
cresta,cut - Nick
crește,grow - crescere
crucifica,crucify - crocifiggere
cuceri,conquer - conquistare
cufrânge,break - Chiaro
cufunda,immerse - tuffo
cufuri,have diarrhea - dossi
cugeta,think - pensare
culca,lie down - sonno
culege,collect - collezione
cumineca,receive - cumineca
cuminți,settle down - dolce
cumpăni,weigh - riflettere
cumpăra,buy - acquistare
cumpăta,be frugal - equilibrio
cumpli,kill - atroce
cunoaște,know - Sapere
cununa,wed - ghirlanda
cuprinde,comprehend - Include
cura,clean - cura
curăța,clean - pulire
curge,flow - fluire
curma,stop - FINE
custa,live - Cust
cuteza,dare - Osa
cutreiera,knock about - setaccio
cutremura,shudder - scuotere
cuvânta,say - parlare
cuveni,be adequate - dovrebbe
da jos,take down - prendere nota
da la labă,receive a handjob - Dai la zampa
da la muie,receive a blowjob - Dagli un pompino
da muie,receive a blowjob - Dai un pompino
da,give - SÌ
dansa,dance - danza
datora,owe - essere debitore
dăpăra,pull out one's hair - diede
dărăci,comb - hackle
dărăpăna,ruin - fatisciare
dărâma,prune - rotto
dăuna,damage - danno
decapita,decapitate - decapitare
decădea,decline - autunno
deceda,die - perchè si
decide,decide - decidere
declara,declare - dichiarare
declina,decline - declino
deda,dedicate - indulgere
defăima,defame - diffamare
degera,freeze to death - congelare
dejuga,unyoke - disordinare
delăsa,neglect - rimosso
delimita,delimit - delimitare
delira,be delirious or crazed - delirio
deloga,log out - disconnettersi
denatura,falsify - distorcere
depăna,reel on/up - Fino a
depăra,seize by the hair - oltrepassare
depărta,remove - rimuovere
deplasa,shift - viaggio
deprinde,get used to - Imparare
depune,deposit - Lodge
deranja,derange - fastidio
deretica,tidy up - fare la propria stanza
descăleca,get off a horse - smontare
descălța,take off or remove a shoe - lo scarico
descărca,unload - scaricare
descânta,cast a spell over - disincantare
descheia,unfasten - sbottonare
deschide,open - aprire
descinge,unbuckle - slacciare
descompune,decompose - decomporsi
descoperi,discover - scoprire
descrește,decrease - diminuire
descrie,describe - descrivere
descuia,unlock - sfortunato
desculța,remove or take off shoes - il nutro
descurca,unravel - districare
desena,draw - disegno
desface,undo - allentare
desfășa,unwrap a baby - Egli stava correndo
desfășura,unfold - POSTO
desfăta,delight - festa
desfira,unravel - Distruggere
desmăța,archaic form of dezmăța - lo smantellamento
desmânta,cause to change one's mind - Dislocity
despăduchea,delouse - Delosa
despărți,separate - separato
despica,split - Cleave
desprinde,detach - Sollevamento
despuia,strip - Dispendi
despune,govern - intell
destrăbăla,go astray - Distruggere
destrăma,unravel - sciogliere
destupa,uncork - stappare
deszice,go back on one's word - Deszico
deșela,harass - molestare
deșidera,desire - abbandonato
deșira,unwind - svelare
deveni,become - diventare
dezamăgi,disillusion - deludere
dezavantaja,disadvantage - danno
dezbina,part - dividere
dezbrăca,undress - striscia
dezdoi,straighten - Incredibile
dezgheța,thaw - scongelare
dezgropa,dig up - scavare
dezgusta,disgust - disgusto
dezice,deny - ritrattare
dezlega,untie - sciolto
dezlipi,detach - scompiglio
dezmăța,live unrestrained - dissolutezza
dezmânta,cause to change one's mind - dislocare
dezmetici,wake up from a state such as that of drunkenness - rassicurante
dezmierda,caress - carezza
dezminți,deny - negare
dezrădăcina,uproot - sradicare
dezrobi,emancipate - Disentale
dezumfla,deflate - sgonfiare
dezuni,disunite - disunità
dezvăța,unlearn - svezzare
dezvolta,develop - sviluppare
dicta,dictate - dettare
diminua,diminish - RIDURRE
dirigui,drive - Dirigui
discuta,discuss - parlare
diseca,dissect - sezionare
dispărea,disappear - scomparire
dispune,arrange - AVERE
distila,distill - distillare
distinge,distinguish - distinguere
distra,entertain - intrattenere
distruge,destroy - distruggere
divorța,divorce - divorzio
dizolva,dissolve - sciogliere
dobândi,get - acquisire
documenta,document - documento
domestici,domesticate - domestico
domina,dominate - dominare
domni,reign - regno
dona,donate - donare
dori,desire - Piace
dormi,sleep - stai dormendo
dormita,doze - sonno
dospi,ferment - lievito
dovedi,prove - dimostrare
drege,mend - remit
dubla,double - Doppio
duce,carry - CAUSA
dumica,dismember - tritare
dura,build - scorso
durea,hurt - male
dușmăni,hate - stai ascoltando
echilibra,balance - bilancia
ejacula,ejaculate - Ejacula
elibera,free - PROBLEMA
elimina,eliminate - rimuovere
emoționa,move emotionally - eccitare
epuiza,tire - scarico
estima,estimate - stima
evinge,evict - Eving
exagera,exaggerate - esagerare
excava,excavate - scavare
excela,excel - eccellere
excita,excite - eccitare
exista,exist - c'è
expedia,mail - accelerare
explica,explain - spiegare
expune,exhibit - che colloca
extinde,extend - espandere
extrage,extract - estratto
ezita,hesitate - esitare
face dragoste,make love - fare l'amore
face labă,jerk off - fare la zampa
face sex,have sex - fa sesso
face,do - fare
făgădui,plege - hai promesso
făli,brag - spavalderia
făptui,make - commettere
fărâma,knock - crollare
făuri,forge - costruire
fereca,hoop - cerchio
ferestrui,saw - finestra
feri,guard from - Mantenere
ferici,make happy - abbellire
fi,be - Essere
fierăstrui,saw - fabbri
fierbe,until it begins to turn into a gas) - Bollire
finisa,finish - fine
fixa,fix - aggiustare
flămânzi,starve - morire di fame
fluiera,whistle - fischio
flutura,flutter - farfalla
folosi,use - utilizzo
forfeca,cut with scissors - lacrima
forfoti,bustle - cuocere a fuoco lento
forja,forge - fucina
forța,force - forza
fotografia,photograph - la foto
fractura,fracture - frattura
frauda,defraud - frode
frământa,knead - impastare
frâna,brake - freno
frânge,break - rottura
freca,rub - strofinare
fremăta,rustle - Sough
frige,roast - Freddo
fugi,run - CORRERE
fulgera,strike - tuono
fuma,smoke - Fumo
fumega,smoke - Fumo
funcționa,function - funzione
funda,found - arco
fura,steal - rubare
furnica,swarm - formica
fute,fuck - Fanculo
gaza,gas - aerare
găsi,find - Trovare
găti,prepare - cucinare
găuri,drill - buco
gâdila,tickle - solletico
gâmba,take by surprise - Gâmba
gândi,think - pensare
geme,groan - gemito
ghici,guess - Indovinare
ghida,guide - guida
glumi,joke - scherzo
goli,empty - chiaro
gravita,gravitate - gravitare
grăbi,rush - fretta
grăi,talk - parlare
greși,err - errore
gudura,fawn - Toady
gusta,taste - gusto
guverna,govern - governare
hali,eat rapidly - pipistrello
halucina,hallucinate - allucinato
hămesi,starve - Hămesi
hiberna,hibernate - ibernazione
holba,goggle - Goggle
hotărî,decide - decidere
hrăni,feed - foraggio
ieftini,cheapen - PIÙ ECONOMICO
ierna,winter - inverno
ierta,forgive - perdonare
ieși,exit - esci
ignora,ignore - ignorare
imagina,imagine - immaginare
implica,imply - METTERSI IN GIOCO
imprima,print - stampa
impune,enforce - imporre
imputa,impute - imputare
induce,induce - indurre
influența,influence - influenza
injecta,inject - iniettare
insista,insist - insistere
insulta,insult - insulto
intenționa,intend - deliberatamente
interesa,interest - interesse
interveni,intervene - intervenire
interzice,prohibit - vietare
intoxica,intoxicate - veleno
intra,enter - Entra
introduce,insert - accedere
intui,intuit - Intuizione
inunda,flood - alluvione
invada,invade - invadere
invita,invite - invitare
irita,irritate - irritare
iscăli,sign - sottoscrivere
ispiti,tempt - tentare
isprăvi,finish - completare
istovi,exhaust - scarico
iubi,love - Amore
izbăvi,free - consegnare
izbi,knock - colpo
izgoni,chase away - scacciato
îmbărbăta,encourage - incoraggiare
îmbăta,intoxicate - intossicare
îmbătrâni,age - età
îmbia,urge - attirare
îmbina,combine - Combina
îmblânzi,tame - domare
îmbogăți,enrich - arricchire
îmboldi,goad - sperone
îmbrăca,dress - vestito
îmbrățișa,hug - abbraccio
îmbuca,eat quickly - interblocco
îmbuiba,stuff - Swill
îmbulzi,crowd - folla
îmbuna,calm - calma
îmbunătăți,improve - migliorare
împăca,make up - riconciliare
împăduri,forest - imboschire
împăna,lard - interlard
împăra,impale - strano
împărți,share - condividere
împături,fold - piega
împăuna,strut one's stuff - spavalderia
împerechea,pair - compagno
împiedica,hinder - impedire
împila,press - opprimere
împinge,so that it moves away) - spingere via
împlânta,stick or thrust into - impiantare
împleti,knit - tessere
împlini,fill - adempiere
împodobi,adorn - adorn
împovăra,burden or with - fardello
împrăștia,spread - diffusione
împrejmui,surround - circondarsi
împrejura,encircle - circostanza
împresura,besiege - assediare
împreuna,join - insieme
împroprietări,appropriate land to - assegnazione
împrospăta,refresh - rinfrescare
împrumuta,lend - prestito
împunge,thrust - Gore
împușca,shoot - sparare
împuți,make stink - puzza
înavuți,enrich - Inav
înăbuși,smother - soffocare
înălța,raise - esaltare
încadra,frame - telaio
încăla,gain weight - CALZATURE
încăleca,mount - montare
încălța,put on shoes or other footwear - Diddle
încălzi,warm - Calore
încăpea,comprise - ospitare
încărca,charge - carico
încări,heat - Wessue
încărunți,become grey-haired - affamato
încânta,charm - delizia
începe,start - Inizi
încerca,try - Tentativo
încercui,encircle - circondare
înceta,stop - fermare
încetini,slow down - rallentare
închega,curdle - cagliare
încheia,conclude - FINE
închide,close - appendere
închina,worship - Cina
închipui,imagine - immaginare
încinge,take fire - Giord
înclina,incline - inclinato
înconjura,encircle - circondarsi
încorona,crown - corona
încorpora,incorporate - incorporare
încrede,trust - Fiducia
încrunta,frown - lavorare a maglia
încuia,lock - serratura
încumeta,dare - Osa
încununa,crown - corona
încura,drive - incurabile
încuraja,encourage - incoraggiare
încurca,confuse - groviglio
îndeletnici,be engaged in - compito
îndemna,prompt - sollecitare
îndepărta,estrange from - rimuovere
îndesa,stuff - cose
îndobitoci,make or render stupid - noioso
îndoi,bend - curva
îndopa,stuff - eccesso di alimentazione
îndrăgosti,fall in love - innamorarsi
îndrăzni,dare - Osa
îndrepta,straighten - raddrizzare
îndulci,sweeten - addolcire
îndupleca,fold - rinunciare
îndura,endure - sopportare
îndurera,grieve - affliggere
îneca,drown - annegare
înfăina,flour - Descrivi
înfăptui,carry out - Fare
înfășa,swaddle - fasciare
înfășura,wrap - avvolgere
înfățișa,depict - interpretare
înfia,adopt - affiliato
înfierbânta,heat - parboil
înfige,thrust - bastone
înfiora,frighten - strisciante
înfiripa,take shape - staccare
înflori,flower - fiorire
înfoca,heat - Si stava concentrando
înfoia,swell - rimpolpandi
înfometa,starve - morire di fame
înfrăți,fraternize - fraternizzare
înfrâna,bridle - sconfitto
înfrânge,defeat - sconfitta
înfricoșa,scare - Daunt
înfrunta,face - sfidare
înfrunzi,leaf - Partire
înfuleca,wolf down - Knap
înfumura,inflate oneself - presuntuoso
înfunda,clog - Clog
înfuria,infuriate - rabbia
îngălbeni,make yellow - giallo
îngâmfa,inflate oneself - presuntuoso
îngâna,imitate - ronzio
îngemăna,twin - era arrabbiato
îngenunchea,kneel - inginocchiarsi
înghesui,stuff - stretta
îngheța,freeze - congelare
înghiți,swallow - rondine
îngrămădi,pile up - mucchio
îngrășa,fatten - paffuto
îngreuna,make or become heavy - Presa
îngriji,care for - infermiera
îngrijora,worry about - preoccupazione
îngropa,bury - seppellire
îngusta,narrow - stretto
înierba,plant or cover with grass - inierba
înjosi,humiliate - avvilire
înjuga,yoke - Difficile
înjunghia,stab - pugnalata
înjura,swear - imprecare
înlătura,remove - rimuovere
înlesni,facilitate - sollievo
înlocui,substitute - sostituire
înmărmuri,bedaze - sbalordito
înmâna,hand - la mano
înmormânta,bury - seppellire
înmulți,multiply - moltiplicare
înnegri,blacken - annerisci
înnegura,darken - fioco
înnoda,knot - cravatta
înnoi,renew - in noi
înnopta,become night - sonno
înnora,become cloudy - Becloud
înota,swim - nuotare
înrădăcina,take root - radice
înrăma,frame - telaio
înrâuri,influence - influenza
înrudi,be or come related to - relazionare
însărcina,commission with - in gravidanza
înscrie,inscribe - A
însemna,mean - Significare
însenina,clear up - illuminare
însera,become evening or night - inserire
înseta,be thirsty - sete
însori,become sunny - sposato
însoți,accompany - accompagnare
înspăimânta,terrify - impaurire
însufleți,animate - Sei avaro
însura,marry - sposare
însuși,appropriate - lui stesso
înșela,trick - imbroglione
înșeua,saddle - sella
înșira,string - enumerare
înșuruba,screw - vite
întărâta,incite - nel tuo paese
întări,strengthen - rafforzare
întâlni,meet - Incontrare
întâmpina,meet - Benvenuto
întâmpla,happen - accadere
întemeia,found - TROVATO
întina,desecrate - profanare
întinde,stretch - diffusione
întinge,soak or moisten food - Inting
întoarce,return - giro
întortochea,wind - la svolta
întreba,ask - chiedere
întrebuința,use - l'uso
întrema,recover - recuperare
întreprinde,undertake - intraprendere
întrerupe,interrupt - interrompere
întreține,entertain - mantenere
întrevedea,visualize - prevedere
întrezări,glimpse - occhiata
întrista,grieve - Grieve
întuneca,darken - scurire
înțelege,understand - capire
înțepa,bite - puntura
învălura,wave - onda
învăța,learn - Imparare
învârti,spin - rotazione
învechi,wear out - logorare
învecina,be/become neighbours with - adiacente
înveli,wrap up - avvolgere
învenina,envenom - veleno
înverșuna,stiffen - bretelle
înverzi,color green - verde
învește,clothe oneself - Investito
învia,resurrect - AUMENTATO
învinge,win - sconfitta
înviora,enliven - rinvigorire
învolbura,whirl - vortice
înzestra,provide - dotare
jena,embarrass - imbarazzo
jigni,insult - offendere
jindui,covet - invidia
juca,play - giocare
judeca,judge - giudice
juisa,enjoy the pleasures of life - Juisa
junghia,cut someone's throat - uccidere
jupui,skin - Excoriate
jura,swear - imprecare
la,wash - A
lansa,pitch - lancio
lăcrima,shed tears - lacrime
lămuri,shed light on - chiaro
lărgi,enlarge - AUMENTO
lăsa,let - Partire
lătra,bark - abbaio
lăți,widen - allargare
lăuda,praise - lode
lega,tie - vincolare
legăna,rock - oscillazione
lepăda,renounce - lancio
leșina,faint - svenire
libera,free - gratuito
licări,gleam - veloce
limita,limit - limite
limpezi,clarify - chiaro
linge,lick - leccata
linguși,flatter - WHEEDLE
liniști,calm - Tranquillo
lipi,stick - NASTRO
lipsi,deprive - mancanza
locui,reside - vivere
loga,log in - login
logodi,betroth - fidanzata
lovi,hit - colpo
lua în considerație,take into consideration - prendere in considerazione
lua în seamă,take notice - Prendere in considerazione
lua,take - CONTATTO
lubrifia,lubricate - lubrificare
luci,shine - luminoso
lucra,work - lavoro
lumina,light - la luce
lungi,lengthen - LUNGO
lupta,fight - la lotta
maltrata,mistreat - trattare male
masa,massage - tavolo
masturba,masturbate - masturbarsi
măcina,grind - macinare
mărgini,bound - bordi
mări,enlarge - grande
mărita,marry - sposare
mărturisi,confess - confessare
mărunți,cut or break into small pieces - tritare
măsura,measure - misurare
mătura,sweep - scopa
mâhni,distress - affliggere
mâna,drive - mano
mânca,eat - mangiare
mândri,be proud of - orgoglio
mânea,spend the night - Criniera
mâneca,get up and go very early in the morning - manica
mângâia,pet - comfort
mânia,anger - rabbia
mânji,dirty - Daub
mâzgăli,scribble - scarabocchio
memoriza,memorize - memorizzare
menține,maintain - mantenere
merge,go - andare
merita,deserve - meritare
meriza,rest in the shade - polimerizzato
mesteca,chew - masticare
mește,pour out a drink - Mesta
micșora,shrink - diminuire
mijloci,mediate - mediare
minți,lie - dire bugie
minuna,astound - Meraviglia
mira,wonder - sorpresa
mirosi,smell - odore
mistifica,mislead - mistificare
mișca,move - mossa
mișuna,teem - BUMAGGIO
modifica,change - modificare
momi,entice - adescare
moșteni,inherit - ereditare
mugi,moo - muggire
muia,wet - liquefare
mulge,milk - latte
mulțumi,satisfy - Grazie
munci,work - lavoro
mura,pickle - Brambleberry
murdări,dirty - disordine
muri,die - morire
murmura,murmur - mormorio
murseca,bite and break with the teeth - MRSCU
mustra,chide - rimprovero
mușca,bite - volare
muta,move - mossa
narcotiza,narcotize - droga
naște,give birth to - NATO
nădăjdui,hope - Speranza
năluci,hallucinate - fantasma
nebuni,go crazy - pazzo
necăji,bother - burlone
nega,deny - negare
neglija,neglect - trascurare
neguța,engage in trade - Neguta
nenoroci,make unhappy - appestare
netezi,smooth - liscio
nimeri,happen - colpo
nimici,destroy - distruggere
ninge,snow - nevicare
nivela,level - appianare
nu avea habar,have no idea - Non aveva idea
număra,count - contare
numi,name - chiamata
nutri,feed - NUTRIZIONE
obișnui,accustom to - abituare
obliga,oblige - legamento
obosi,tire - fatica
observa,observe - avviso
obține,obtain - Raggiungere
ochi,aim - occhi
ocroti,protect - riparo
ocupa,occupy - Occupato
odihni,rest - riposo
oferi,offer - offerta
ofili,wither - appassire
ofta,sigh - sospiro
oftica,be consumptive - furia
oglindi,reflect - specchio
omorî,murder - uccisione
onora,honor - onore
opri,stop - fermare
orbi,blind - cieco
ordona,give an order or command - ordine
orienta,orientate - ORIENTAMENTO
oripila,horrify - inorridire
ospăta,welcome - festa
otrăvi,poison - veleno
parca,park - parco
pasa,pass - pascià
pasteuriza,pasteurise - pastorizzare
pava,pave - pavimentazione
păcăli,fool - scemo
păcătui,sin - peccato
păduchea,delouse - i pidocchi
păli,burn - dissolvenza
păpa,nom - Ciao ciao
părăsi,abandon - Partire
părea,look - Aspetto
părui,seize by the hair - Paru
păsa,care - pascià
păstra,keep - Mantenere
pășuna,graze - pascolare
păta,stain - macchia
pătimi,suffer - soffrire
pătrunde,penetrate - penetrare
păți,happen or occur to someone - accadere
păzi,guard - guardia
pedepsi,punish - punire
perfecta,finish - perfetto
perinda,pass - parata
persevera,persevere - perseverare
petici,patch - toppa
petrece,party - trascorrere
peți,propose - corteggiare
pica,drip - autunno
picta,paint - colore
pieptăna,comb - pettine
pierde,lose - perdere
pieri,perish - perire
piersica,hit or beat very hard - pesca
pingeli,sole - risoluzione
pisa,pound - macinare
pișa,piss - macinare
planta,plant - la pianta
plăcea,please - Piace
plănui,plan - piano
plăti,pay - pagamento
plânge,cry - gridare
pleca,leave - Partire
plictisi,bore - foro
plimba,walk - camminare
plivi,weed - erba
ploua,rain - Piove
pluti,float - galleggiante
pocni,whack - colpo
pofti,desire - invitare
ponegri,slander - Backbite
porni,start - INIZIO
porunci,order - Comandamenti
potrivi,arrange - adatto
povârni,slant - pendenza
prăbuși,collapse - guasto
prăda,plunder - preda
prăji,fry - friggere
prăpădi,ravage - distruggere
prăsi,reproduce - Zappa
prăși,reproduce - Zappa
prânzi,lunch - pranzo
prefera,prefer - preferire
pregăti,prepare - preparare
pregeta,waver - esitare
prelungi,prolong - estendere
preoți,be ordained - sacerdozio
prescrie,prescribe - prescrivere
presupune,suppose - assumere
prețui,value - apprezzare
prevedea,glimpse - fornire
preveni,warn - evitare
prevesti,portend - predire
prevești,exceed - prefigurazione
prezice,predict - prevedere
pricepe,understand - comprendere
primi,receive - ricevere
prinde,catch - presa
pripi,hurry - fretta
priveghea,look after - veglia
proba,prove - campione
produce,produce - produrre
promite,promise - promettere
propti,support - puntello
propune,propose - proporre
prosti,fool - Cattivo
proteja,protect - proteggere
pulsa,pulsate - impulso
puncta,punctuate - punto
pune,put - Mettere
pupa,kiss - poppa
purcede,proceed - inizio
purica,clean of fleas - Pulce
purifica,purify - purificare
purta,wear - COMPORTARSI
pușca,shoot - fucile
putea,be able to - A
putrezi,rot - marcire
puți,reek - Reek
rade,shave - ridere
răbda,endure - sopportalo
răboji,tally - conteggio
răci,cool - prendere freddo
răcni,roar - ruggito
răcori,cool - Freddo
răguși,become/get hoarse - Hoarsen
rămâne,remain - rimanere
răni,hurt - ferita
răpi,ravish - rapire
răposa,die - morire
răpune,kill - distruggere
răsări,rise - salita
răscoace,overbake - Overbake
răscula,revolt - mescolata
răsfăța,pamper - coccolare
răsfira,spread - Uncoil
răsfoi,scan - navigare
răsfrânge,reflect - pause
răspândi,scatter - diffusione
răspunde,respond - rispondere
răstigni,crucify - crocifiggere
răsturna,topple over - ribaltare
răsuci,turn - intrecciare
răsufla,breathe - respirare
răsuna,resound - risuonare
răszice,insist - Rotto
rătăci,get lost - PERDERE
răzbuna,avenge - vendetta
răzgândi,rethink - riconsiderare
răzleți,separate or distance - Raschia
râde,laugh - ridere
râma,rout - telaio
râvni,covet - braccio
recunoaște,recognize - riconoscere
recupera,recover - recuperare
reduce,reduce - ridurre
refeca,hemstitch - Fare riferimento
refuza,refuse - rifiutare
reintroduce,reintroduce - reintrodurre
reînnoi,renew - rinnovare
relua,take back - riprendere
renova,renovate - ristrutturare
repauza,rest - riposo
repezi,hurry - fretta
republica,republish - repubblica
rescrie,rewrite - riscrivere
respira,breathe - Basta respirare
reteza,chop off - taglio
retrage,retreat - ritirare
returna,return - ritorno
reține,retain - Ricordare
reuși,succeed - AVERE SUCCESSO
reveni,return - ritorno
rezema,lean - riposo
rezista,resist - resistere
rezolva,resolve - risolvere
ridica,lift - raccolta
risca,risk - rischio
risipi,strew - sciupare
roade,gnaw - FRUTTA
robi,enslave - cattività
rostogoli,roll - Tumble
roși,redden - arrossire
roti,rotate - ruota
rotunji,round off - girare
ruga,ask - pregare
rugi,roar - preghiere
rugini,rust - ruggine
ruina,ruin - rovina
rula,roll - CORRERE
rumega,chew over again - ruminante
rupe,break - rottura
rușina,shame - vergogna
saliniza,salinise - Saliniza
saluta,greet - Benvenuto
salva,save - salva
satisface,satisfy - soddisfare
satura,saturate - saturare
săgeta,shoot or hit with an arrow - brivido
sălta,leap - salto
săpa,dig - scavare
săra,salt - Sara
sărbători,celebrate - celebrare
sări,jump - salta
săruta,kiss - bacio
sătura,satiate - saturare
sângera,bleed - sanguinare
scădea,decrease - diminuire
scălda,drown - fare il bagno
scăpa,drop - sbarazzarsi
scăpăra,strike - scintillare
scăpăta,decline - rovina
scărmăna,card - cardo
scărpina,scratch - graffio
scânci,groan - piagnucolare
scânteia,sparkle - scintilla
schimba,modify - modifica
scoace,burn - pecora
scoate,remove - portare fuori
scobi,pick - vuoto
scormoni,rummage - rotta
scorni,invent - invenzione
screme,strain or exert onself - ghiaccio
scrie,write - scrivere
scufunda,sink - lavello
scuipa,spit - sputo
scula,get up - ATTREZZO
scumpi,make more expensive - costoso
scurge,drain - drenare
scurma,scratch - graffio
scurta,shorten - accorciare
scutura,shake - scuotere
scuza,excuse - scusa
seca,strip - Asciutto
secera,reap - falce
seduce,seduce - va
semăna,sow - seminare
semna,sign - cartello
separa,separate - separato
serba,celebrate - celebrare
servi,serve - servire
sfătui,advise - consigliare
sfârși,end - FINE
sfârtica,mangle - Flay
sfâșia,break or tear to pieces - RIP
sfecli,be at a loss - barbabietole
sfinți,sanctify - santificare
sfulgera,dumbfound - Affamato
simboliza,symbolize - simboleggiare
simplifica,simplify - semplificare
simți,feel - Tatto
sinucide,commit suicide - suicidarsi
sista,pause - fermare
